epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5151,0.99425,3.201,1.13825,0.46594,0.33748,0.32208,0.24981,0.91474,1.71608,1.06385,0.067,3.3033e-05,3.3033e-05
2,123.895,0.80736,1.24999,1.01517,0.72153,0.45261,0.50072,0.39699,0.74267,1.13981,0.96076,0.0336934,5.97304e-05,5.97304e-05
3,168.97,0.73528,0.99123,0.96873,0.74828,0.51211,0.59754,0.48112,0.65824,0.85709,0.93191,0.000380062,7.97618e-05,7.97618e-05
4,219.62,0.68435,0.8177,0.94463,0.83667,0.54696,0.6428,0.52178,0.62065,0.74543,0.90551,7.0003e-05,7.0003e-05,7.0003e-05
5,265.856,0.64191,0.72579,0.92638,0.82997,0.5812,0.66552,0.54109,0.6046,0.69862,0.90531,6.0004e-05,6.0004e-05,6.0004e-05
6,311.658,0.62355,0.67291,0.91128,0.83321,0.59238,0.67203,0.55412,0.57307,0.67421,0.88751,5.0005e-05,5.0005e-05,5.0005e-05
7,357.26,0.59402,0.62944,0.89913,0.83778,0.60731,0.68628,0.56326,0.56577,0.64131,0.88556,4.0006e-05,4.0006e-05,4.0006e-05
8,407.387,0.58459,0.59601,0.89984,0.89062,0.58151,0.68909,0.56885,0.55343,0.62028,0.88263,3.0007e-05,3.0007e-05,3.0007e-05
9,452.935,0.56319,0.56017,0.88341,0.91535,0.60537,0.69676,0.57535,0.54581,0.60527,0.87773,2.0008e-05,2.0008e-05,2.0008e-05
10,498.338,0.54812,0.54435,0.8819,0.8985,0.61553,0.70359,0.58058,0.5381,0.58883,0.87284,1.0009e-05,1.0009e-05,1.0009e-05
