epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.763,0.99009,2.62136,1.12703,0.64228,0.44512,0.50902,0.38117,0.81773,1.41659,0.99698,0.00030027,0.00030027,0.00030027
2,422.324,0.94364,1.20824,1.08713,0.7035,0.48936,0.54335,0.38814,0.93171,1.1909,1.08223,0.000597298,0.000597298,0.000597298
3,624.737,1.00235,1.15237,1.12166,0.64324,0.50626,0.52677,0.38018,0.9453,1.3149,1.0887,0.000888326,0.000888326,0.000888326
4,828.85,0.9728,1.06872,1.10277,0.77436,0.51465,0.58582,0.4287,0.90705,1.03046,1.06969,0.000882003,0.000882003,0.000882003
5,1037.96,0.95304,1.00583,1.09702,0.77592,0.55493,0.62105,0.45252,0.89308,0.96118,1.06381,0.000873004,0.000873004,0.000873004
6,1245.68,0.92377,0.96524,1.07453,0.86949,0.56525,0.65841,0.48032,0.8737,0.88499,1.02963,0.000864004,0.000864004,0.000864004
7,1454.49,0.89185,0.89666,1.05166,0.86271,0.5596,0.66628,0.48745,0.83182,0.82838,1.02223,0.000855005,0.000855005,0.000855005
8,1676.2,0.86786,0.85556,1.04439,0.77754,0.61313,0.67615,0.51391,0.79638,0.78882,1.00143,0.000846006,0.000846006,0.000846006
9,1828.54,0.83177,0.82587,1.02641,0.802,0.55007,0.63847,0.48923,0.79592,0.87135,0.99871,0.000837007,0.000837007,0.000837007
10,1919.06,0.84682,0.81518,1.02614,0.86511,0.61778,0.7065,0.53057,0.76214,0.73217,0.97445,0.000828008,0.000828008,0.000828008
11,2014.25,0.80326,0.75904,1.01001,0.87526,0.62264,0.70059,0.52872,0.75689,0.74219,0.96683,0.000819009,0.000819009,0.000819009
12,2107.84,0.79643,0.76265,1.00384,0.8314,0.6153,0.68116,0.53387,0.76724,0.71625,0.98986,0.00081001,0.00081001,0.00081001
13,2202.68,0.78301,0.73015,1.00822,0.83789,0.65391,0.71655,0.54309,0.73652,0.69093,0.96913,0.000801011,0.000801011,0.000801011
14,2296.99,0.77705,0.72146,0.98698,0.86548,0.61075,0.71062,0.55081,0.70865,0.66218,0.96355,0.000792012,0.000792012,0.000792012
15,2392.57,0.76748,0.71057,0.99726,0.929,0.62176,0.72053,0.56074,0.71028,0.65189,0.95416,0.000783013,0.000783013,0.000783013
16,2488.42,0.75942,0.69367,0.98734,0.82906,0.63109,0.70216,0.54254,0.75346,0.68032,0.98331,0.000774013,0.000774013,0.000774013
17,2583.38,0.75979,0.68306,0.98583,0.87413,0.63707,0.71536,0.5542,0.70915,0.66251,0.96035,0.000765014,0.000765014,0.000765014
18,2677.22,0.73612,0.68019,0.97958,0.85214,0.65458,0.71234,0.56453,0.681,0.6363,0.94753,0.000756015,0.000756015,0.000756015
19,2774.28,0.73753,0.66041,0.98246,0.91099,0.6344,0.73318,0.56289,0.69297,0.63281,0.95159,0.000747016,0.000747016,0.000747016
20,2868.62,0.71223,0.64416,0.96549,0.88357,0.62946,0.72154,0.56245,0.67617,0.62767,0.95233,0.000738017,0.000738017,0.000738017
21,2960.99,0.72224,0.6318,0.96916,0.88704,0.62992,0.72047,0.57177,0.66168,0.64985,0.93586,0.000729018,0.000729018,0.000729018
22,3051.58,0.69526,0.6136,0.95545,0.90722,0.63149,0.72793,0.58035,0.6585,0.61106,0.93005,0.000720019,0.000720019,0.000720019
23,3141.2,0.69641,0.61197,0.95919,0.83852,0.65622,0.72589,0.57544,0.66763,0.59922,0.93619,0.00071102,0.00071102,0.00071102
